ESTAB,EMPSZES,NAICS2012,zipcode,year
0,252,71,37204,2014
0,254,71,37204,2014
0,260,71,37204,2014
85,1,72,37204,2014
24,212,72,37204,2014
14,220,72,37204,2014
19,230,72,37204,2014
19,241,72,37204,2014
8,242,72,37204,2014
1,251,72,37204,2014
0,252,72,37204,2014
0,254,72,37204,2014
0,260,72,37204,2014
25,1,71,37205,2014
16,212,71,37205,2014
3,220,71,37205,2014
1,230,71,37205,2014
2,241,71,37205,2014
0,242,71,37205,2014
3,251,71,37205,2014
0,252,71,37205,2014
0,254,71,37205,2014
0,260,71,37205,2014
54,1,72,37205,2014
8,212,72,37205,2014
6,220,72,37205,2014
11,230,72,37205,2014
18,241,72,37205,2014
8,242,72,37205,2014
3,251,72,37205,2014
0,252,72,37205,2014
0,254,72,37205,2014
0,260,72,37205,2014
15,1,71,37206,2014
13,212,71,37206,2014
2,220,71,37206,2014
0,230,71,37206,2014
0,241,71,37206,2014
0,242,71,37206,2014
0,251,71,37206,2014
0,252,71,37206,2014
0,254,71,37206,2014
0,260,71,37206,2014
68,1,72,37206,2014
19,212,72,37206,2014
10,220,72,37206,2014
19,230,72,37206,2014
18,241,72,37206,2014
2,242,72,37206,2014
0,251,72,37206,2014
0,252,72,37206,2014
0,254,72,37206,2014
0,260,72,37206,2014
5,1,71,37207,2014
4,212,71,37207,2014
1,220,71,37207,2014
0,230,71,37207,2014
0,241,71,37207,2014
0,242,71,37207,2014
0,251,71,37207,2014
0,252,71,37207,2014
0,254,71,37207,2014
0,260,71,37207,2014
58,1,72,37207,2014
18,212,72,37207,2014
6,220,72,37207,2014
19,230,72,37207,2014
13,241,72,37207,2014
2,242,72,37207,2014
0,251,72,37207,2014
0,252,72,37207,2014
0,254,72,37207,2014
0,260,72,37207,2014
3,1,71,37208,2014
3,212,71,37208,2014
0,220,71,37208,2014
0,230,71,37208,2014
0,241,71,37208,2014
0,242,71,37208,2014
0,251,71,37208,2014
0,252,71,37208,2014
0,254,71,37208,2014
0,260,71,37208,2014
43,1,72,37208,2014
17,212,72,37208,2014
7,220,72,37208,2014
8,230,72,37208,2014
10,241,72,37208,2014
1,242,72,37208,2014
0,251,72,37208,2014
0,252,72,37208,2014
0,254,72,37208,2014
0,260,72,37208,2014
14,1,71,37209,2014
6,212,71,37209,2014
3,220,71,37209,2014
2,230,71,37209,2014
1,241,71,37209,2014
2,242,71,37209,2014
0,251,71,37209,2014
0,252,71,37209,2014
0,254,71,37209,2014
0,260,71,37209,2014
99,1,72,37209,2014
21,212,72,37209,2014
16,220,72,37209,2014
27,230,72,37209,2014
28,241,72,37209,2014
4,242,72,37209,2014
3,251,72,37209,2014
0,252,72,37209,2014
0,254,72,37209,2014
0,260,72,37209,2014
16,1,71,37210,2014
10,212,71,37210,2014
3,220,71,37210,2014
2,230,71,37210,2014
0,241,71,37210,2014
1,242,71,37210,2014
0,251,71,37210,2014
0,252,71,37210,2014
0,254,71,37210,2014
0,260,71,37210,2014
33,1,72,37210,2014
10,212,72,37210,2014
8,220,72,37210,2014
4,230,72,37210,2014
8,241,72,37210,2014
2,242,72,37210,2014
1,251,72,37210,2014
0,252,72,37210,2014
0,254,72,37210,2014
0,260,72,37210,2014
24,1,71,37211,2014
16,212,71,37211,2014
1,220,71,37211,2014
4,230,71,37211,2014
1,241,71,37211,2014
1,242,71,37211,2014
1,251,71,37211,2014
0,252,71,37211,2014
0,254,71,37211,2014
0,260,71,37211,2014
180,1,72,37211,2014
63,212,72,37211,2014
24,220,72,37211,2014
37,230,72,37211,2014
47,241,72,37211,2014
8,242,72,37211,2014
1,251,72,37211,2014
0,252,72,37211,2014
0,254,72,37211,2014
0,260,72,37211,2014
106,1,71,37212,2014
73,212,71,37212,2014
16,220,71,37212,2014
14,230,71,37212,2014
2,241,71,37212,2014
1,242,71,37212,2014
0,251,71,37212,2014
0,252,71,37212,2014
0,254,71,37212,2014
0,260,71,37212,2014
68,1,72,37212,2014
16,212,72,37212,2014
7,220,72,37212,2014
13,230,72,37212,2014
24,241,72,37212,2014
7,242,72,37212,2014
1,251,72,37212,2014
0,252,72,37212,2014
0,254,72,37212,2014
0,260,72,37212,2014
18,1,71,37214,2014
9,212,71,37214,2014
3,220,71,37214,2014
0,230,71,37214,2014
3,241,71,37214,2014
0,242,71,37214,2014
2,251,71,37214,2014
1,252,71,37214,2014
0,254,71,37214,2014
0,260,71,37214,2014
172,1,72,37214,2014
42,212,72,37214,2014
18,220,72,37214,2014
31,230,72,37214,2014
58,241,72,37214,2014
13,242,72,37214,2014
9,251,72,37214,2014
0,252,72,37214,2014
0,254,72,37214,2014
1,260,72,37214,2014
55,1,71,37215,2014
41,212,71,37215,2014
9,220,71,37215,2014
2,230,71,37215,2014
1,241,71,37215,2014
0,242,71,37215,2014
2,251,71,37215,2014
0,252,71,37215,2014
0,254,71,37215,2014
0,260,71,37215,2014
53,1,72,37215,2014
7,212,72,37215,2014
8,220,72,37215,2014
11,230,72,37215,2014
22,241,72,37215,2014
4,242,72,37215,2014
0,251,72,37215,2014
1,252,72,37215,2014
0,254,72,37215,2014
0,260,72,37215,2014
6,1,71,37216,2014
2,212,71,37216,2014
3,220,71,37216,2014
0,230,71,37216,2014
0,241,71,37216,2014
0,242,71,37216,2014
1,251,71,37216,2014
0,252,71,37216,2014
0,254,71,37216,2014
0,260,71,37216,2014
29,1,72,37216,2014
4,212,72,37216,2014
