grace,chord,rest,note_Id,duration,voice,type,dot,accidental,stem,staff,default-x,default-y,measure_Id
"","","",290,"60","5","quarter","","","up","2","69.88","-175.00",25
"","","",291,"60","5","quarter","","","down","2","150.92","-105.00",25
"","","",292,"60","5","quarter","","","down","2","150.92","-95.00",25
"","","",293,"60","5","quarter","","","down","2","150.92","-85.00",25
"","","",294,"60","5","quarter","","","down","2","215.75","-105.00",25
"","","",295,"60","5","quarter","","","down","2","215.75","-95.00",25
"","","",296,"60","5","quarter","","","down","2","215.75","-85.00",25
"","","",297,"30","1","eighth","","","down","1","12.00","-10.00",26
"","","",298,"30","1","eighth","","","down","1","55.92","-5.00",26
"","","",299,"120","1","half","","","down","1","99.47","0.00",26
"","","",300,"60","5","quarter","","","up","2","12.00","-160.00",26
"","","",301,"60","5","quarter","","","down","2","99.83","-105.00",26
"","","",302,"60","5","quarter","","","down","2","99.83","-90.00",26
"","","",303,"60","5","quarter","","","down","2","99.83","-80.00",26
"","","",304,"60","5","quarter","","","down","2","170.10","-105.00",26
"","","",305,"60","5","quarter","","","down","2","170.10","-90.00",26
"","","",306,"60","5","quarter","","","down","2","170.10","-80.00",26
"","","",307,"30","1","eighth","","","down","1","12.00","-20.00",27
"","","",308,"30","1","eighth","","","down","1","53.89","-15.00",27
"","","",309,"30","1","eighth","","","down","1","95.78","-10.00",27
"","","",310,"30","1","eighth","","","down","1","137.67","10.00",27
"","","",311,"30","1","eighth","","","down","1","179.56","5.00",27
"","","",312,"30","1","eighth","","","down","1","221.45","0.00",27
"","","",313,"60","5","quarter","","","up","2","12.00","-145.00",27
"","","",314,"60","5","quarter","","","down","2","95.78","-110.00",27
"","","",315,"60","5","quarter","","","down","2","95.78","-100.00",27
"","","",316,"60","5","quarter","","","down","2","95.78","-80.00",27
"","","",317,"60","5","quarter","","","down","2","179.56","-110.00",27
"","","",318,"60","5","quarter","","","down","2","179.56","-100.00",27
"","","",319,"60","5","quarter","","","down","2","179.56","-80.00",27
"","","",320,"","1","16th","","","up","1","7.75","-5.00",28
"","","",321,"","1","16th","","","up","1","18.72","0.00",28
"","","",322,"30","1","eighth","","","down","1","30.43","-5.00",28
"","","",323,"30","1","eighth","","sharp","down","1","75.70","-10.00",28
"","","",324,"120","1","half","","","down","1","120.60","-5.00",28
"","","",325,"60","5","quarter","","","up","2","30.43","-130.00",28
"","","",326,"60","5","quarter","","","down","2","120.96","-110.00",28
"","","",327,"60","5","quarter","","","down","2","120.96","-95.00",28
"","","",328,"60","5","quarter","","","down","2","120.96","-85.00",28
"","","",329,"60","5","quarter","","","down","2","193.39","-110.00",28
"","","",330,"60","5","quarter","","","down","2","193.39","-95.00",28
"","","",331,"60","5","quarter","","","down","2","193.39","-85.00",28
"","","",332,"30","1","eighth","","","down","1","51.25","-15.00",29
"","","",333,"30","1","eighth","","","down","1","94.88","-10.00",29
"","","",334,"60","1","quarter","","","down","1","138.50","-5.00",29
"","","",335,"60","1","quarter","","","down","1","208.29","-5.00",29
"","","",336,"60","5","quarter","","","up","2","51.25","-140.00",29
"","","",337,"60","5","quarter","","","down","2","138.50","-105.00",29
"","","",338,"60","5","quarter","","","down","2","138.50","-95.00",29
"","","",339,"60","5","quarter","","","down","2","138.50","-85.00",29
"","","",340,"60","5","quarter","","","down","2","208.29","-105.00",29
"","","",341,"60","5","quarter","","","down","2","208.29","-95.00",29
"","","",342,"60","5","quarter","","","down","2","208.29","-85.00",29
"","","",343,"30","1","eighth","","","down","1","12.00","0.00",30
"","","",344,"30","1","eighth","","","down","1","57.61","5.00",30
"","","",345,"120","1","half","","","down","1","102.87","10.00",30
"","","",346,"60","5","quarter","","","up","2","12.00","-160.00",30
"","","",347,"60","5","quarter","","","down","2","103.23","-105.00",30
